Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-1;9780952745365;Alex Katz;;Katz, Alex;Maculan, Lena;Saatchi Gallery;1998;;;228;;Disponível;;;https://covers.openlibrary.org/b/id/2694214-L.jpg
150-2;9789726996651;Olhares de Lisboa;;Moura, Albino;Vaz, Rodrigues;Vega;2000;;;125;;Disponível;;;
150-3;9781851585908;Alberto Morrocco;;Keller, Victoria;Young, Clara;Trafalgar Square Publishing;1994;;;96;;Disponível;;;https://covers.openlibrary.org/b/id/11383093-L.jpg
150-4;9728392648;Cruzeiro Seixas: Desenho;;Seixas, Cruzeiro;Moura Sobral, Luís de;Casa da Cerca - Centro de Arte Contemporânea;2001;Artes Plásticas;Português;79;;Disponível;;;
150-5;9789726351856;Dialogo De Vanguardas;;Molder, Jorge et al;;Fundacao Calouste Gulbenkian;2006;Pintores;Português;;;Disponível;;;
150-6;9728639007;Mário Cesariny: Pintura e Desenho;;Cesariny, Mário;Fernandes, Maria João;Galeria de Arte António Prates;2001;Artes Plásticas;Português;86;;Disponível;;;
150-7;9780816643820;Alfred Maurer;;Henry Maurer, Alfred;Frederick R. Weisman Art Museum, University of Minnesota;Frederick R. Weisman Art Museum, University of Minnesota;2003;;;92;;Disponível;;;https://covers.openlibrary.org/b/id/9485903-L.jpg
150-8;9783775712620;Alfred Kubin;;Kubin, Alfred;Cantz, Hatje;Hatje Cantz;2002;;;143;;Disponível;;;https://covers.openlibrary.org/b/isbn/9783775712620-L.jpg
150-9;9729833222;Alex Katz;;Katz, Alex;Galeria Mário Sequeira;Galeria Mário Sequeira;2002;;;;;Disponível;;;
150-10;390193507X;Alex Katz;;Katz, Alex;Maculan, Lena;La Linea, Galerie Thaddaeus Ropac & Alex Katz;2000;;;;;Disponível;;;https://covers.openlibrary.org/b/isbn/390193507X-L.jpg
150-11;9789898010148;Album de pintura de Amândio Silva;;Silva, Amândio;Cal.;Cal.;2006;;;176;;Disponível;;;
150-12;3926318333;Andre Bauchant: 24.04.1873 - 12.08.1958;;Kisters, Jürgen;Braus im Wachter Verlag, Edition;Edition Braus im Wachter Verlag;2000;;;266;;Disponível;;;
150-13;9783851600933;Andreas Reiter Raabe;;;;Schlebrugge.Editor;;;;;;Disponível;;;https://covers.openlibrary.org/b/id/9130584-L.jpg
150-14;3901935304;Anselm Kiefer fur Paul Celan;;Kiefer, Anselm;Thaddaeus Ropac, Galerie;Galerie Thaddaeus Ropac;2005;;;128;;Disponível;;;
150-15;9789729089558;António Cruz;;Castro, Laura;Cruz, António;Árvore;2015;;;;;Disponível;;;
150-16;8492004509;Antonio Lopez;;López-García, Antonio;Fundacion Fondo de Cultura de Sevilla, (FOCUS);Fundacion Fondo de Cultura de Sevilla, (FOCUS);1994;;;266;;Disponível;;;
150-17;9729766509;Alexandre Baptista: Pintura 1990-2000;;Baptista, Alexandre;Pinto de Almeida, Bernardo;Edição do Autor;2000;Artes Plásticas;Português;112;;Disponível;;;
150-18;9789722116978;Armando Alves;;Castro, Laura;Caminho, Editorial;Editorial Caminho;2006;;;34;;Disponível;;;
150-19;9780979482304;Botero in LA;;Botero, Fernando;Gallery, Tasende;Tasende Gallery;2010;;;57;;Disponível;;;
150-20;9788881583126;Armando Testa;;De Angelis Testa, Gemma;Verzotti, Giorgio;Charta;2001;;;238;;Disponível;;;https://covers.openlibrary.org/b/id/13291658-L.jpg
150-21;2868820735;Arnulf Rainer;;Rainer, Arnulf;Lelong, Galerie;Galerie Lelong;2006;;;63;;Disponível;;;
150-22;8434305518;Arranz-Bravo;;Racionero, Luis;Polígrafa;Polígrafa;1988;;;186;;Disponível;;;
150-23;051710427X;Aubrey Beardsley;;;;Random House Value Publishing;1988;;;;;Disponível;;;
150-24;9728392885;O Fio Condutor: O Desenho como Pensamento;;Ribeiro, Ana Isabel;;Casa da Cerca - Centro de Arte Contemporânea;2002;Artes Plásticas;Português;64;;Disponível;;;
150-25;9782706812804;Aragon;;Fouladvind, Hamid;& Larose, Maisonneuve;Maisonneuve & Larose;1997;;;127;;Disponível;;;https://covers.openlibrary.org/b/id/2158943-L.jpg
150-26;9782234050600;Sur Henri Matisse;;Aragon, Louis;Stock;Stock;1999;;;122;;Disponível;;;https://covers.openlibrary.org/b/id/2149648-L.jpg
150-27;0900955570;Avigdor Arikha;;Avigdor Arikha;Marlborough Gallery;Marlborough Gallery;1996;;;38;;Disponível;;;
150-28;9781904372936;Avigdor Arikha;;Arikha, Avigdor;Fine Art (London) Ltd, Marlborough;Marlborough Fine Art (London) Ltd;2011;;;79;;Disponível;;;
150-29;9729147124;D. João IV e os Artistas do Seu Tempo;;Gabinete de História da Cidade;;Câmara Municipal do Porto;1996;História da Arte;Português;143;;Disponível;;;https://covers.openlibrary.org/b/id/7544437-L.jpg
150-30;9781558592452;Francis Bacon (Modern Masters Series, Vol. 9);;Marlais Davies, Hugh;Press, Abbeville;Abbeville Press;1986;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/783913-L.jpg
150-31;9780500202715;Francis Bacon;;Russell, John;and Hudson, Thames;Thames and Hudson;1993;;;208;;Disponível;;;https://covers.openlibrary.org/b/id/316053-L.jpg
150-32;9780500274859;Francis Bacon;;Ades, Dawn;and Hudson, Thames;Thames and Hudson;1985;;;246;;Disponível;;;https://covers.openlibrary.org/b/id/10192838-L.jpg
150-33;9780374104948;Francis Bacon;;Peppiatt, Michael;Farrar, Straus and Giroux;Farrar, Straus and Giroux;1997;;;366;;Disponível;;;https://covers.openlibrary.org/b/id/222702-L.jpg
150-34;9780500201695;Francis Bacon (World of Art);;Russell, John;& Hudson, Thames;Thames & Hudson;1979;;;192;;Disponível;;;https://covers.openlibrary.org/b/id/7432097-L.jpg
150-35;0847801888;Balthus;;Balthus;Rizzoli;Rizzoli;1979;;;48;;Disponível;;;https://covers.openlibrary.org/b/id/13676442-L.jpg
150-36;9788417173289;Balthus;;;;Fundación Colección-Thyssen Bornemisza;;;;;;Disponível;;;https://covers.openlibrary.org/b/id/13624807-L.jpg
150-37;9783823854722;The painter's house;;Shinoyama, Kishin;Schirmer/Mosel;Schirmer/Mosel;2000;;;85;;Disponível;;;https://covers.openlibrary.org/b/id/12195959-L.jpg
150-38;9788589804028;L'abstraction lyrique dans la peinture de Bandeira;;Bandeira, Antônio;Expomus;Expomus;2010;;;95;;Disponível;;;
150-39;9781854379979;Barry Flanagan;;Flanagan, Barry;Pub., Tate;Tate Pub.;2011;;;159;;Disponível;;;
150-40;9780955828577;Barry Flanagan;;Flanagan, Barry;Galleries, Waddington;Waddington Galleries;2010;;;130;;Disponível;;;
150-41;9780955493195;Barry Flanagan Sculptures 2001-2008;;Macnicol, Eona;;;;;;;;Disponível;;;
150-42;0954544153;Linear sculptures in bronze and stone carvings;;Flanagan, Barry;Galleries, Waddington;Waddington Galleries;2004;;;103;;Disponível;;;https://covers.openlibrary.org/b/id/15006306-L.jpg
150-43;2911596005;Jean-Michel Basquiat;;Michel Basquiat, Jean;O'Brien, Glenn;Galerie Enrico Navarra;1996;;;399;;Disponível;;;
150-44;9782876602175;Johann Wilhelm Baur;;Baur, Joh. Wilhelm;de Strasbourg, Musees;Musees de Strasbourg;1998;;;191;;Disponível;;;https://covers.openlibrary.org/b/id/2183809-L.jpg
150-45;9780195097849;Amazing grace;;Adams Leeming, David;University Press, Oxford;Oxford University Press;1998;;;221;;Disponível;;;https://covers.openlibrary.org/b/id/122982-L.jpg
150-46;8448231074;Ben Nicholson.;;Nicholson, Ben;Harrison, Charles;IVAM, Institut Valencia d'Art Modern;2002;;;242;;Disponível;;;
150-47;9788882153557;Benvenuto Benvenuti;;Benvenuti, Benvenuto;Silvana;Silvana;2001;;;191;;Disponível;;;
150-48;9781906412234;Bernard Cohen;;Lynton, Norbert;Flowers;Flowers;2009;;;240;;Disponível;;;https://covers.openlibrary.org/b/id/10733201-L.jpg
150-49;9789722317443;Bernardo Marques;;Bairrao Ruivo, Marina;Presenca, Editorial;Editorial Presenca;1993;;;198;;Disponível;;;
150-50;3928762753;Joseph Beuys;;Beuys, Joseph;Verspohl, Franz-Joachim;Richter Verlag;1998;;;205;;Disponível;;;
150-51;1885013132;Lehmbruck/Beuys.;;Lehmbruck, Wilhelm;Beuys, Joseph;Michael Werner;1997;;;;;Disponível;;;
150-52;3921375061;Joseph Beuys, Coyote;;Tisdall, Caroline;Schirmer/Mosel;Schirmer/Mosel;1976;;;158;;Disponível;;;
150-53;9781558591073;Joseph Beuys;;Stachelhaus, Heiner;Press, Abbeville;Abbeville Press;1991;;;223;;Disponível;;;
150-54;1904372163;A Venetian affair;;Jacklin, Bill;Fine Art, Marlborough;Marlborough Fine Art;;;;36;;Disponível;;;https://covers.openlibrary.org/b/id/12657696-L.jpg
150-55;9780520212602;Bob Thompson;;Golden, Thelma;Whitney Museum of American Art;Whitney Museum of American Art;1998;;;200;;Disponível;;;https://covers.openlibrary.org/b/id/3780290-L.jpg
150-56;0810900416;Pierre Bonnard;;Fermigier, Andre;Abrams;Abrams;1969;;;160;;Disponível;;;
150-57;9780983176930;Fernando Botero;;Nader Fine Art, Gary;Nader Editions, Gary;Gary Nader Editions;2010;;;;;Disponível;;;
150-58;9780810946811;Botero;;Botero, Fernando;Chiappini, Rudy;Cameo/Abrams;1997;;;64;;Disponível;;;https://covers.openlibrary.org/b/id/596945-L.jpg
150-59;9782826400509;Boucher;;Rosenberg, Pierre;du Livre, Office;Office du Livre;1986;;;60;;Disponível;;;https://covers.openlibrary.org/b/id/13911289-L.jpg
150-60;9020915673;Bram Bogart;;Legrand, Francine-Claire;Lannoo;Lannoo;1988;;;125;;Disponível;;;
150-61;9780810946958;Braque;;Braque, Georges;Cameo/Abrams;Cameo/Abrams;1997;;;64;;Disponível;;;https://covers.openlibrary.org/b/id/1534161-L.jpg
150-62;9780731050031;Brett Whiteley;;Pearce, Barry;Gallery of New South Wales, Art;Art Gallery of New South Wales;1995;;;240;;Disponível;;;
150-63;9781854374554;Bridget Riley;;Moorhouse, Paul;GALLERY, TATE;TATE GALLERY;2003;;;244;;Disponível;;;https://covers.openlibrary.org/b/id/12628450-L.jpg
150-64;9780944521410;Bridget Riley;;Cooke, Lynne;Center for the Arts, Dia;Dia Center for the Arts;2001;;;111;;Disponível;;;https://covers.openlibrary.org/b/id/720933-L.jpg
150-65;9781930743809;Bridget Riley;;Riley, Bridget;Cooke, Lynne;PaceWildensten;2007;;;63;;Disponível;;;
150-66;9780500201565;Bruegel;;S. Gibson, Walter;& Hudson, Thames;Thames & Hudson;1977;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/4648946-L.jpg
150-67;9782351450284;Jean-Marc Bustamante, beau fixe;;Bustamante, Jean-Marc;Un, deux, quatre;Un, deux, quatre;2006;;;79;;Disponível;;;
150-68;9782908901481;Jean-Marc Bustamante: Lent retour ;;Bustamante, Jean-Marc;du Jeu de Paume, Musée;Musée du Jeu de Paume;1996;;;63;;Disponível;;;
150-69;3926318236;Die Clowns des Camille Bombois ;;Gunther, Ernst;Wachter;Wachter;1997;;;107;;Disponível;;;https://covers.openlibrary.org/b/id/2257613-L.jpg
150-70;392631821X;Camille Bombois, 3.2.1883-11.6.1970;;Bombois, Camille;Museum Charlotte Zander, Schloss Bonnigheim;Museum Charlotte Zander, Schloss Bonnigheim;1999;;;166;;Disponível;;;https://covers.openlibrary.org/b/id/2257612-L.jpg
150-71;9788571910164;Candido Portinari, 1903-1962;;Portinari, Cândido;Pinakotheke, Edições;Edições Pinakotheke;2002;;;104;;Disponível;;;https://covers.openlibrary.org/b/id/12571334-L.jpg
150-72;9789726473626;Canto da Maya;;Canto da Maya, Ernesto;Secretaria Regional da Educação e Cultura, Direção Regional da Cultura;Secretaria Regional da Educação e Cultura, Direção Regional da Cultura;2019;;;199;;Disponível;;;
150-73;9789061683506;Caravaggio, genie in opdracht;;Treffers, Bert;SUN;SUN;1991;;;223;;Disponível;;;
150-74;3517000582;Carl Spitzweg;;Winkler, Arnim;Verlag, Südwest;Südwest Verlag;1977;;;;;Disponível;;;
150-75;8472329143;Carmen Laffón;;Laffón, Carmen;Ministerio de Asuntos Exteriores, Dirección General de Relaciones Culturales y Científicas;Ministerio de Asuntos Exteriores, Dirección General de Relaciones Culturales y Científicas;2003;;;177;;Disponível;;;
150-76;2905075724;Carole Benzaken;;Benzaken, Carole;Arson, Villa;Villa Arson;1995;;;17;;Disponível;;;
150-77;9782705657826;Esthetiques sur Carpaccio;;Serres, Michel;Hermann;Hermann;1975;;;143;;Disponível;;;https://covers.openlibrary.org/b/id/2158499-L.jpg
150-78;0955049962;Carroll Dunham;;Dunham, Carroll;Cube, White;White Cube;2006;;;50;;Disponível;;;https://covers.openlibrary.org/b/id/9692249-L.jpg
150-79;9782879390901;Caspar David Friedrich et la peinture romantique;;Sala, Charles;Caspar, David;Terrail;1993;;;205;;Disponível;;;https://covers.openlibrary.org/b/id/992833-L.jpg
150-80;0900955503;Celia Paul Painting and Drawings;;Celia Paul;Marlborough Fine Art (London) Ltd;Marlborough Fine Art (London) Ltd;1995;;;;;Disponível;;;https://covers.openlibrary.org/b/id/13813164-L.jpg
150-81;9789723709834;Mário Cesariny;;Pinharanda, João;& Alvim, Assírio;Assírio & Alvim;2004;;;310;;Disponível;;;
150-82;9780500202586;Cezanne;;Verdi, Richard;and Hudson, Thames;Thames and Hudson;1992;;;216;;Disponível;;;https://covers.openlibrary.org/b/id/316039-L.jpg
150-83;0814800467;Chagall at the Met;;Marc Chagall;Emily Genauer;"Metropolitan Opera Association; distributed by Tudor Pub. Co.";1971;;;149;;Disponível;;;https://covers.openlibrary.org/b/id/8500008-L.jpg
150-84;0847810801;Chagall;;Abramovich Kamenskii, Aleksandr;Rizzoli;Rizzoli;1989;;;376;;Disponível;;;https://covers.openlibrary.org/b/id/13099629-L.jpg
150-85;0517658305;The Jerusalem windows;;Chagall, Marc;Lane, Park;Park Lane;1987;;;210;;Disponível;;;https://covers.openlibrary.org/b/id/8451658-L.jpg
150-86;0814807259;Homage to Chagall;;Amiel, Leon;Amiel Publisher, Leon;Leon Amiel Publisher;1983;;;;;Disponível;;;
150-87;3791329405;Marc Chagall Meisterwerke Seiner Keramik;;Doschka, Roland;PUBLISHING+, PRESTEL;PRESTEL PUBLISHING+;;;;;;Disponível;;;https://covers.openlibrary.org/b/id/13116669-L.jpg
150-88;2891921011;Marc Chagall;;Chagall, Marc;Petrova, Evgenija;Montreal Museum of Fine Art;1988;;;199;;Disponível;;;
150-89;0810909774;Chaim Gross, watercolors and drawings;;Chaim Gross;H. N. Abrams;H. N. Abrams;1979;;;162;;Disponível;;;
150-90;9783775791038;Impact of Chaim Soutine;;Bacon, Francis;Cantz Publishers, Hatje;Hatje Cantz Publishers;2002;;;168;;Disponível;;;https://covers.openlibrary.org/b/id/3252959-L.jpg
150-91;9780816643851;Charles Biederman;;C. Larsen, Susan;McDonnell, Patricia;University of Minnesota Press;2003;;;84;;Disponível;;;https://covers.openlibrary.org/b/id/1551295-L.jpg
150-92;9780679748137;The world of Charles Addams.;;Addams, Charles;Travel Publications, Fodor's;Fodor's Travel Publications;1998;;;305;;Disponível;;;https://covers.openlibrary.org/b/id/13046344-L.jpg
150-93;0889623279;"Mihail Chemiakin (Vol. 1: Russian Period, Paris Period; Vol. 2";;Michel Chemiakin;Mosaic Press (NY);Mosaic Press (NY);1986;;;1200;;Disponível;;;https://covers.openlibrary.org/b/id/2679376-L.jpg
150-94;0900955678;Yifei Chen;;Yifei Chen;Marlborough Fine Art (London) Ltd;Marlborough Fine Art (London) Ltd;1998;;;;;Disponível;;;
150-95;0900955902;Chen Yifei - Paintings and Drawings 2001;;Chen Yifei;Marlborough Fine Art (London) Ltd;Marlborough Fine Art (London) Ltd;2001;;;40;;Disponível;;;https://covers.openlibrary.org/b/id/12668983-L.jpg
150-96;089797249X;High & inside;;Campbell, Beth;Chelsea, Marlborough;Marlborough Chelsea;2003;;;28;;Disponível;;;
150-97;2850470368;Les secrets de l'or antique;;Eluere, Christiane;des arts, Bibliotheque;Bibliotheque des arts;1990;;;239;;Disponível;;;
150-98;1904621007;Fifty years of drawing.;;Chillida, Eduardo;Juda Fine Art, Annely;Annely Juda Fine Art;2003;;;;;Disponível;;;
150-99;3893226133;Chuck Close;;Poetter, Jochen;Art Pub Inc (Dap), Distributed;Distributed Art Pub Inc (Dap);1994;;;200;;Disponível;;;
150-100;8570830416;Cicero Dias;;Dias, Cicero;Index, Editora;Editora Index;1993;;;95;;Disponível;;;
150-101;1555213006;Claes Oldenburg;;Oldenburg, Claes;Sales, Book;Book Sales;1988;;;274;;Disponível;;;https://covers.openlibrary.org/b/id/13608814-L.jpg
150-102;9783935567343;George Condo;;Condo, George;Holzwarth;Holzwarth;2006;;;138;;Disponível;;;https://covers.openlibrary.org/b/isbn/9783935567343-L.jpg
150-103;9782070124756;George Condo;;Condo, George;Dina Vierny-Musée Maillol, Fondation;Fondation Dina Vierny-Musée Maillol;2009;;;165;;Disponível;;;
150-104;077370017X;Cornelius Krieghoff [by] Hugues de Jouvancourt. [Translation and adaptation by Nancy Côte];;de Jouvancourt, Hugues;Book Co., Musson;Musson Book Co.;1973;;;144;;Disponível;;;https://covers.openlibrary.org/b/id/9785941-L.jpg
150-105;9783906053196;Gustave Courbet;;Courbet, Gustave;Küster, Ulf;Fondation Beyeler;2014;;;197;;Disponível;;;
150-106;9789724816753;Cruz Filipe;;da Cruz Filipe, Ricardo;& Irmao Editores, Lello;Lello & Irmao Editores;1994;;;166;;Disponível;;;
150-107;0847812030;Cucchi, drawings, 1975-1989;;Perucchi-Petri, Ursula;Rizzoli;Rizzoli;1990;;;400;;Disponível;;;https://covers.openlibrary.org/b/id/9818945-L.jpg
150-108;9789729195280;El rei Dom Carlos, pintor;;Henriques da Silva, Raquel;Fundação da Casa de Bragança;Fundação da Casa de Bragança;2007;;;222;;Disponível;;;
150-109;9728392605;O Desenho do Desenho: O Processo Criativo de Rogério Ribeiro;;Ribeiro, Rogério;;Casa da Cerca - Centro de Arte Contemporânea;2000;Artes Plásticas;Português;92;;Disponível;;;https://covers.openlibrary.org/b/id/12156182-L.jpg
150-110;014020430X;Leonardo da Vinci;;Clark, Kenneth;Penguin;Penguin;1967;;;;;Disponível;;;https://covers.openlibrary.org/b/id/9313360-L.jpg
150-111;0960069216;Les Diners de Gala;;Dalí, Salvador;Peter Moore, J.;Labor;1974;;;321;;Disponível;;;https://covers.openlibrary.org/b/id/13193230-L.jpg
150-112;0810908026;Dali;;Salvador Dalí;Abrams;Abrams;1978;;;296;;Disponível;;;
150-113;2891921291;Salvador Dali.;;Dalí, Salvador;Montreal Museum of Fine Arts;Montreal Museum of Fine Arts;1990;;;223;;Disponível;;;
150-114;9780714833385;Dalí;;Masters, Christopher;Phaidon;Phaidon;1995;;;126;;Disponível;;;
150-115;9789186243029;Dalí Dalí featuring Francesco Vezzoli;;Vezzoli, Francesco;Steidl;Steidl;2009;;;;;Disponível;;;
150-116;9780521497473;Salvador Dali's art and writing, 1927-1942;;N. Finkelstein, Haim;University Press, Cambridge;Cambridge University Press;1996;;;334;;Disponível;;;https://covers.openlibrary.org/b/id/3807705-L.jpg
150-117;2850250031;Dali;;Dalí, Salvador;Hazan, F.;F. Hazan;1974;;;48;;Disponível;;;
150-118;9781906967116;Requiem I;;Hirst, Damien;Beard, Jason;Other Criteria;2009;;;196;;Disponível;;;https://covers.openlibrary.org/b/id/13868617-L.jpg
150-119;9781906967123;Requiem II;;Hirst, Damien;Beard, Jason;Other Criteria;2009;;;130;;Disponível;;;
150-120;9729546274;Marta Telles: Pintura;;Telles, Marta;França, José-Augusto;Edições Culturais Independentes;1998;Artes Plásticas;Português;48;;Disponível;;;
150-121;0953402517;Dan Hays;;Dan Hays;Entwistle;Entwistle;2000;;;31;;Disponível;;;
150-122;0954544110;David Salle.;;David Salle;Rosenblum, Robert.;Waddington Galleries;2003;;;;;Disponível;;;
150-123;9780847817818;David Salle;;Salle, David;Whitney, David;Rizzoli;1994;;;223;;Disponível;;;https://covers.openlibrary.org/b/id/643346-L.jpg
150-124;0932325432;Portraits;;Tomb, David;Fresno Art Museum;Fresno Art Museum;2000;;;55;;Disponível;;;
150-125;9783865604972;Giorgio de Chirico;;De Chirico, Giorgio;König;König;2008;;;135;;Disponível;;;
150-126;9782717720808;Edgar Degas photographe ;;Daniel, Malcolm;Nationale de France - BNF, Bibliothèque;Bibliothèque Nationale de France - BNF;1999;;;143;;Disponível;;;
150-127;0831721758;Degas;;Dunlop, Ian;Dunlop, Ian;Galley Pr;1984;;;;;Disponível;;;
150-128;271183395X;La Grece en revolte;;Constans, Claire;des musees nationaux, Reunion;Reunion des musees nationaux;1996;;;301;;Disponível;;;
150-129;2911780116;Gérard Deschamps;;Deschamps, Gérard;de l'hospice Saint-Roch, Musée;Musée de l'hospice Saint-Roch;2003;;;81;;Disponível;;;
150-130;9053251626;Desmond Morris;;Levy, Silvano;Pandora;Pandora;2001;;;462;;Disponível;;;
150-131;0932169260;Dogancay Doors and Walls;;Burhan Dogancay;;;;;;;;Disponível;;;
150-132;9788882152963;Domenico Gnoli;;Gnoli, Domenico;Silvana;Silvana;2001;;;1;;Disponível;;;
150-133;9789726473763;Domingos Rebêlo;;Rebêlo, Domingos;Secretaria Regional da Educação e Cultura, Direção Regional da Cultura;Secretaria Regional da Educação e Cultura, Direção Regional da Cultura;2020;;;178;;Disponível;;;
150-134;0968970192;Don Resnick;;Wagner, Odon;Wagner Gallery, Odon;Odon Wagner Gallery;2004;;;32;;Disponível;;;
150-135;1885013248;Jean Dubuffet;;Dubuffet, Jean;Dubuffent, Jean;Michael Werner;2001;;;;;Disponível;;;
150-136;0821205250;Jean Dubuffet;;Loreau, Max;Weber;Weber;1971;;;605;;Disponível;;;
150-137;9782879392394;Jean Dubuffet;;Danchin, Laurent;Terrail;Terrail;2001;;;205;;Disponível;;;
150-138;9789492660008;Jean Dubuffet in het Rijksmuseum;;Dubuffet, Jean;Rijksmuseum;Rijksmuseum;2017;;;77;;Disponível;;;
150-139;2070762777;Biographie au pas de course;;Dubuffet, Jean;Gallimard;Gallimard;2001;;;124;;Disponível;;;https://covers.openlibrary.org/b/id/2138832-L.jpg
150-140;9788567830001;Artistic revolution;;Penteado, Duda;Ring;Ring;2014;Instalação ;Inglês;202;;Disponível;;;
150-141;0486210979;The complete woodcuts of Albrecht Durer;;Albrecht Dürer;Dover Publications;Dover Publications;1927;;;241;;Disponível;;;
150-142;0714814679;The art of Albrecht Durer;;Woelfflin, Heinrich, 1864-1945.;[distributed in the U.S. by Praeger, Phaidon;Phaidon [distributed in the U.S. by Praeger;1971;;;311;;Disponível;;;https://covers.openlibrary.org/b/id/8220315-L.jpg
150-143;9781853322747;Ed Ruscha;;Ruscha, Edward;Publishing, Hayward;Hayward Publishing;2009;;;191;;Disponível;;;
150-144;0810922282;Guacamole airlines and other drawings;;Ruscha, Edward;N. Abrams, H.;H. N. Abrams;1980;;;96;;Disponível;;;https://covers.openlibrary.org/b/id/8490010-L.jpg
150-145;2908117436;Passages;;Grenier, Catherine;;Centre Pompidou;1991;Artes Plásticas;Francês / Inglês;39;;Disponível;;;
150-146;9783903004962;Eduardo Arroyo;;Arroyo, Eduardo;Vfmk;Vfmk;2016;;;152;;Disponível;;;
150-147;8480261005;Eduardo Arroyo.;;Arroyo, Eduardo;Giaimo, Nicolò (1925-1998);Museo Nacional Centro de Arte Reina Sofía;1998;;;297;;Disponível;;;https://covers.openlibrary.org/b/isbn/8480261005-L.jpg
150-148;9789727392629;Outra vez não Eduardo Batarda;;Batarda, Eduardo;& Alvim, Assírio;Assírio & Alvim;2011;;;423;;Disponível;;;
150-149;9783980915205;Egon Schrick;;Schrick, Egon;Viernheim, Kunstverein;Kunstverein Viernheim;2008;;;214;;Disponível;;;
150-150;0517404990;The complete paintings of El Greco, 1541-1614;;Gudiol, Jose;House, Greenwich;Greenwich House;1983;;;374;;Disponível;;;https://covers.openlibrary.org/b/id/9793617-L.jpg
150-151;0952671174;Elizabeth Magill;;;;;;;;;;Disponível;;;
150-152;9781930743656;Elizabeth Murray;;Murray, Elizabeth;PaceWildenstein;PaceWildenstein;2006;;;39;;Disponível;;;
150-153;3905632217;Ellsworth Kelly;;Kelly, Ellsworth;Weigel, Viola;Hatje Cantz;2002;;;166;;Disponível;;;
150-154;0810912139;Ellsworth Kelly;;Upright, Diane;H.N. Abrams, in association with Fort Worth Art Museum;H.N. Abrams, in association with Fort Worth Art Museum;1987;;;212;;Disponível;;;https://covers.openlibrary.org/b/id/8489969-L.jpg
150-155;0520237846;Ellsworth Kelly in San Francisco;;Grynsztejn, Madeleine;Myers, Julian;University of California Press;2002;;;104;;Disponível;;;https://covers.openlibrary.org/b/id/327457-L.jpg
150-156;0870704133;Ellsworth Kelly;;C. Goossen, E.;"Museum of Modern Art; distributed by New York Graphic Society, Greenwich, Conn.";"Museum of Modern Art; distributed by New York Graphic Society, Greenwich, Conn.";1973;;;127;;Disponível;;;https://covers.openlibrary.org/b/id/8107923-L.jpg
150-157;9788588728066;Emanoel Araujo;;Araújo, Emanoel;Oficial, Imprensa;Imprensa Oficial;2008;;;271;;Disponível;;;https://covers.openlibrary.org/b/id/11626036-L.jpg
150-158;9789723608663;Impura atitude;;da Silva Rodrigues, Emerenciano;Afrontamento, Edições;Edições Afrontamento;2007;;;180;;Disponível;;;
150-159;9729089418;Emerciano;;da Silva Rodrigues, Emerenciano;Arvore;Arvore;1994;;;70;;Disponível;;;
150-160;8870629651;Enea Vico fra memoria e miraggio della classicita;;Bodon, Giulio;"di Bretschneider, \""L'Erma\""";"\""L'Erma\"" di Bretschneider";1997;;;303;;Disponível;;;https://covers.openlibrary.org/b/id/3751905-L.jpg
150-161;9781905620364;Enrico Castellani, Curated by Adachiara Zevi;;Castellani, Enrico;of Venison, Haunch;Haunch of Venison;2009;;;;;Disponível;;;
150-162;9780892365524;The Superhuman Crew (Getty Trust Publications: J. Paul Getty Museum);;Dylan, Bob;Getty Trust Publications: J. Paul Getty Museum;Getty Trust Publications: J. Paul Getty Museum;1999;;;48;;Disponível;;;https://covers.openlibrary.org/b/id/690166-L.jpg
150-163;972635109X;Ernesto de Sousa;;de Sousa, Ernesto;Fundação Calouste Gulbenkian, Centro de Arte Moderna José de Azeredo Perdigão;Fundação Calouste Gulbenkian, Centro de Arte Moderna José de Azeredo Perdigão;1998;;;354;;Disponível;;;
150-164;9727391508;Ernst Caramelle;;Caramelle, Ernst;Fundação Serralves;Fundação Serralves;2005;;;;;Disponível;;;
150-165;3854152000;Erro;;Erro;Ciscar, Consuelo;Das Museum;1996;;;215;;Disponível;;;
150-166;8496008282;Eusebio Sempere, 1923-1985;;Sempere, Eusebio;Español para el Exterior, Arte;Arte Español para el Exterior;2003;;;130;;Disponível;;;
150-167;8478072888;Eva Lootz;;Bernardez, Carmen;Diputacion de Granada,Spain;Diputacion de Granada,Spain;2001;;;132;;Disponível;;;
150-168;3936636788;Eva Aeppli;;Aeppli, Eva;Kehrer;Kehrer;2006;;;286;;Disponível;;;
150-169;8472329011;Fajardo;;Luis Fajardo, José;SEACEX;SEACEX;2002;;;189;;Disponível;;;
150-170;847232902X;Feito;;Feito, Luis;Hispanica, Cultura;Cultura Hispanica;2002;;;93;;Disponível;;;
150-171;2870277385;Félicien Rops;;Rops, Felicien;Bonnier, Bernadette;Complexe;1998;;;287;;Disponível;;;
150-172;9686258329;Fernando Leal Audirac;;Leal Audirac, Fernando;de Obsidiana Ediciones, Espejo;Espejo de Obsidiana Ediciones;1993;;;518;;Disponível;;;
