Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-780;9780761516767;The complete wine investor;;Sokolin, William;Pub., Prima;Prima Pub.;1998;;;308;;Disponível;;;https://covers.openlibrary.org/b/id/509467-L.jpg
150-781;9781903282045;The Good Web Guide to Wine (Good Web Guide);;Cannavan, Tom;Web Guide Limited, Good;Good Web Guide Limited;2000;;;160;;Disponível;;;https://covers.openlibrary.org/b/id/949229-L.jpg
150-782;9780304351602;New World Wines;;Arkell, Julie;Cassell;Cassell;2000;;;224;;Disponível;;;https://covers.openlibrary.org/b/id/1162572-L.jpg
150-783;9780856674310;Corkscrews for collectors;;Watney, Bernard;Babbidge, Homer;Sotheby's Publications;1993;;;160;;Disponível;;;
150-784;9789722034197;Vinhos de Portugal, 2008;;Paulo Martins, João;Dom Quixote, Publicações;Publicações Dom Quixote;2008;;;463;;Disponível;;;
150-785;9789896891510;Paisagens de Baco;;Luísa Figueiredo Lavrador da Silva, Ana;Colibri;Colibri;2011;;;215;;Disponível;;;
150-786;9789722019392;Wine Routes;;;;;;;;;;Disponível;;;
150-787;9789282576670;Le vin dans la Communauté européenne;;Niederbacher, Antonion;des publications officielles des Communautés européennes, Office;Office des publications officielles des Communautés européennes;1987;;;117;;Disponível;;;
150-788;9782954260402;Bordeaux, Art et le vin (French Edition);;;;;2012;;;286;;Disponível;;;https://covers.openlibrary.org/b/id/14446699-L.jpg
150-789;9780091852887;The Bordeaux Atlas and Encyclopaedia of Chateaux;;Duijker, Hubrecht;Broadbent, J.M.;Ebury Press;1997;;;400;;Disponível;;;https://covers.openlibrary.org/b/id/68356-L.jpg
150-790;9788571106437;Vinho & Guerra;;Don;Zahar, Jorge;Jorge Zahar;2002;;;;;Disponível;;;
150-791;9789723712902;Livro-guia do Alentejo;;Saramago, Alfredo;& Alvim, Assírio;Assírio & Alvim;2007;;;727;;Disponível;;;
150-792;9788572341431;Vinho e historia;;de Paula Santos, Sergio;Books and Art, Dorea;Dorea Books and Art;1998;;;278;;Disponível;;;
150-793;9780810924048;A Toast to wines & spirits;;Fadiman, Clifton;Abrams;Abrams;1989;;;63;;Disponível;;;
150-794;9780789204493;Bordeaux, a legendary wine;;Dovaz, Michel;Press, Abbeville;Abbeville Press;1998;;;268;;Disponível;;;https://covers.openlibrary.org/b/id/550514-L.jpg
150-795;9780307338778;The Billionaire's Vinegar;;Wallace, Benjamin;Crown;Crown;2008;;;336;;Disponível;;;https://covers.openlibrary.org/b/id/2360251-L.jpg
